Observation,,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All
63,,17:24,Tuesday,Home,50.75,131.3,89.5,93.5,9.35,34.3,32.6,Yes
64,,7:25,Tuesday,GSK,51.82,126.8,66.1,73.9,9.35,47,42.1,No
65,,16:05,Monday,Home,51.06,127.4,80.4,85.2,9.35,38.1,36,No
66,,7:19,Monday,GSK,51.62,125.4,74.9,82.9,9.35,41.4,37.4,No
67,,12:12,Friday,Home,51.03,128.4,82.2,89.7,9.35,37.2,34.1,No
68,,8:16,Friday,GSK,51.81,130.2,82.1,85,9.35,37.9,36.6,No
69,,17:00,Thursday,Home,51.07,130.3,75.8,81.7,8.32,40.4,37.5,No
70,,7:46,Thursday,GSK,51.83,133,80.6,85.4,8.32,38.6,36.4,No
71,,16:45,Wednesday,Home,51.27,121.5,75.1,79.1,8.32,41,38.9,No
72,,7:51,Wednesday,GSK,51.83,129.3,72.5,78.1,8.32,42.9,39.8,No
73,,8:13,Tuesday,GSK,51.74,129.7,71.8,79.4,8.32,43.2,39.1,No
74,,15:49,Monday,Home,51.06,125,76.4,85.7,8.32,40.1,35.7,No
75,,6:21,Monday,GSK,50.58,125,104.4,106.2,8.32,29.1,28.6,Yes
76,,12:14,Friday,Home,51.28,120.5,83,89.5,8.32,37.1,34.4,No
77,,8:20,Thursday,GSK,51.77,125.6,82.4,89.5,8.97,37.7,34.7,No
78,,8:20,Wednesday,GSK,51.75,127.9,74.6,81.7,8.97,41.6,38,No
79,,17:24,Tuesday,Home,52.87,123.5,65.1,72.4,8.97,48.7,43.8,No
80,,8:13,Tuesday,GSK,51.75,127.4,72.1,82,8.97,43.1,37.8,No
81,,17:29,Monday,Home,51.06,126.5,71.6,78.6,8.97,42.8,39,No
82,,8:31,Friday,GSK,50.64,129,106.6,112.1,8.97,28.5,27.1,Yes
83,,17:37,Thursday,Home,51.33,125.2,72.5,79.6,8.75,42.5,38.7,No
84,,8:22,Thursday,GSK,51.74,124.5,68.9,79.2,8.75,45,39.2,No
85,,17:39,Wednesday,Home,51.3,126.2,63.4,73.3,8.75,48.6,42,No
86,,8:24,Wednesday,GSK,51.68,130.2,75.7,81.6,8.75,41,38,No
87,,17:28,Tuesday,Home,51.36,133.1,69.5,79.1,8.75,44.4,38.9,No
88,,8:14,Tuesday,GSK,51.74,130.8,80.8,85.2,8.75,38.4,36.5,No
89,,16:58,Monday,Home,51.3,127.3,78.6,82.9,8.75,39.1,37.1,No
90,,8:22,Monday,GSK,50.61,137.1,93.7,100.3,8.75,32.4,30.3,Yes
91,,8:36,Thursday,GSK,50.66,128.3,105.5,111.3,8.75,28.8,27.3,Yes
92,,17:47,Wednesday,Home,51.4,114.4,59.7,65.8,8.75,51.7,46.9,No
93,,8:28,Wednesday,GSK,50.58,128.4,59.5,67.3,8.75,51,45.1,Yes
94,,17:17,Tuesday,Home,51.52,135.1,67.3,78.4,7.81,46,39.5,No
95,,8:25,Tuesday,GSK,48.94,130.8,85.7,93.2,7.81,34.3,31.5,Yes
96,,12:15,Friday,Home,51.02,124.8,80.4,88.9,7.97,38.1,34.4,Yes
97,,8:23,Friday,GSK,50.68,128.3,101.9,107.2,7.97,29.9,28.4,Yes
98,,17:58,Thursday,Home,51.29,126,73.3,76.3,7.97,42,40.3,No
99,,8:22,Thursday,GSK,50.63,125.6,38.5,103.8,7.97,30.8,29.3,Yes
100,,17:10,Wednesday,Home,51.31,127.5,69.5,75.5,7.97,44.3,40.8,No
101,,8:36,Wednesday,GSK,50.59,128.5,103.4,108,7.97,29.4,28.1,Yes
102,,17:39,Tuesday,Home,51.15,128.8,76,85.2,7.97,40.4,36,No
103,,7:42,Tuesday,GSK,50.67,127.3,94.9,97.9,7.97,32,31.1,Yes
104,,17:31,Monday,Home,51.22,126.7,81.2,86.4,7.97,37.8,35.6,No
105,,7:41,Monday,GSK,50.65,127.4,91.1,95.2,7.97,33.4,31.9,Yes
106,,17:17,Thursday,Home,51.39,128.4,65.3,71.9,8.93,47.2,42.9,No
107,,8:22,Thursday,GSK,50.65,122.8,83.5,86.9,8.93,36.4,35,Yes
108,,17:53,Wednesday,Home,51.23,124.9,79.2,81.5,8.93,38.8,37.7,No
109,,7:57,Wednesday,GSK,50.65,128.8,102.2,105.7,8.93,29.7,28.7,Yes
110,,17:26,Tuesday,Home,51.11,130.1,69.8,75.6,8.31,44,40.6,No
111,,7:36,Tuesday,GSK,50.65,128.1,86.3,88.6,8.31,35.2,34.3,Yes
112,,17:37,Monday,Home,50.69,132.3,97.2,103.6,8.31,31.3,29.3,Yes
113,,8:02,Monday,GSK,50.65,129.4,88.2,91.3,8.31,34.4,33.3,Yes
114,,17:27,Thursday,Home,51.11,124.8,74.3,79.6,8.31,41.3,38.5,No
115,,7:37,Thursday,GSK,50.67,130,97.6,101.6,8.31,31.1,29.9,Yes
116,,18:05,Wednesday,Home,51.74,133.3,82.9,89.2,8.33,37.4,34.8,Yes
117,,8:02,Wednesday,GSK,49.16,128.7,59.5,68,8.33,49.6,43.4,No
118,,17:20,Tuesday,Home,51.23,127.2,71.7,76.9,8.33,42.9,40,No
119,,8:10,Tuesday,GSK,51.69,128.7,70.4,70.1,8.33,44.1,39.7,No
120,,16:43,Monday,Home,51.3,123.9,69.6,75.2,8.33,44.2,40.9,No
121,,6:34,Monday,GSK,49.09,123.7,69.4,79.1,8.33,42.4,37.3,No
122,,17:50,Thursday,Home,51.13,127.5,69,75.9,8.33,44.4,40.4,No
123,,8:08,Thursday,GSK,50.67,129.3,99,103.3,8.33,30.7,29.4,Yes
124,,17:36,Wednesday,Home,51.77,127,71.1,79.6,8.33,43.7,39,No
125,,8:11,Wednesday,GSK,50.54,126.8,98.7,103.7,8.33,30.7,29.3,Yes
126,,17:22,Tuesday,Home,51.58,134.3,70,80,8.5,44.2,38.7,No
127,,7:51,Tuesday,GSK,49.12,129.1,52.7,63.2,8.5,55.9,46.6,No
128,,17:04,Monday,Home,51.43,131.1,75.1,79.5,8.5,40.6,38.8,No
129,,8:05,Monday,GSK,49.12,127.5,65.7,73.1,8.5,44.8,40.3,No
130,,16:37,Thursday,Home,50.92,137,66.9,77.7,8.5,45.6,39.3,No
131,,7:23,Thursday,GSK,49.25,124.7,53.5,63.1,8.5,55.2,46.9,No
132,,17:24,Wednesday,Home,51.34,132.8,71.5,76.6,8.5,43.1,40.2,No
133,,7:57,Wednesday,GSK,49.08,125.1,56.5,66.5,8.5,52.1,44.3,No
134,,16:27,Tuesday,Home,52.88,131.6,95.4,98.3,8.5,33.3,32.3,Yes
