PLAYER,TEAM,GP,PTS
Gary Harris,DEN,56,10.4
Gary Payton II,WAS,29,3.9
Gary Trent Jr.,POR,61,8.9
George Hill,MIL,59,9.4
Georges Niang,UTA,66,5.9
Giannis Antetokounmpo,MIL,63,29.5
Glenn Robinson III,PHI,62,11.7
Goga Bitadze,IND,54,3.2
Goran Dragic,MIA,59,16.2
Gordon Hayward,BOS,52,17.5
Gorgui Dieng,MEM,63,7.4
Grant Williams,BOS,69,3.4
Grayson Allen,MEM,38,8.7
Hamidou Diallo,OKC,46,6.9
Harrison Barnes,SAC,72,14.5
Harry Giles III,SAC,46,6.9
Hassan Whiteside,POR,67,15.5
Henry Ellenson,BKN,5,0.4
Ian Mahinmi,WAS,38,7.4
Ignas Brazdeikis,NYK,9,1.9
Iman Shumpert,BKN,13,4.2
Isaac Bonga,WAS,66,5
Isaiah Hartenstein,HOU,23,4.7
Isaiah Roby,OKC,3,0
Isaiah Thomas,WAS,40,12.2
Ish Smith,WAS,68,10.9
Ivica Zubac,LAC,72,8.3
J.J. Barea,DAL,29,7.7
J.P. Macura,CLE,1,0
JJ Redick,NOP,60,15.3
JR Smith,LAL,6,2.8
Ja Morant,MEM,67,17.8
JaKarr Sampson,IND,34,4.6
JaMychal Green,LAC,63,6.8
JaVale McGee,LAL,68,6.6
Jabari Parker,SAC,38,14
Jacob Evans,MIN,29,4.4
Jae Crowder,MIA,65,10.5
Jahlil Okafor,NOP,30,8.1
Jake Layman,MIN,23,9.1
Jakob Poeltl,SAS,66,5.6
Jalen Brunson,DAL,57,8.2
Jalen Lecque,PHX,5,2
Jalen McDaniels,CHA,16,5.6
Jamal Crawford,BKN,1,5
Jamal Murray,DEN,59,18.5
James Ennis III,ORL,69,6.6
James Harden,HOU,68,34.3
James Johnson,MIN,32,8.4
Jared Dudley,LAL,45,1.5
Jared Harper,NYK,3,0.7
Jaren Jackson Jr.,MEM,57,17.4
Jarred Vanderbilt,MIN,11,1.1
Jarrell Brantley,UTA,9,2.7
Jarrett Allen,BKN,70,11.1
Jarrett Culver,MIN,63,9.2
Jarrod Uthoff,WAS,7,2.7
Javonte Green,BOS,48,3.4
Jaxson Hayes,NOP,64,7.4
Jaylen Brown,BOS,57,20.3
Jaylen Hoard,POR,13,2.9
Jaylen Nowell,MIN,15,3.8
Jayson Tatum,BOS,66,23.4
Jeff Green,HOU,48,9.4
Jeff Teague,ATL,59,10.9
Jerami Grant,DEN,71,12
Jeremiah Martin,BKN,9,7.1
Jeremy Lamb,IND,46,12.5
Jeremy Pargo,GSW,3,8.3
