FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Dean,Wade,CLE,26,6,9,81,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,44,30,14,20.3,4.7,1.7,4,41.2,1,2.9,35.4,0.3,0.5,65.2,0.5,3,3.4,0.8,0.4,0.6,0.5,2,13,0,0,2.5,6.5,2.3,14.6,10,55,5.6
Franz,Wagner,ORL,21,6,10,82,220,Michigan,Germany,2021,1,8,80,33,47,32.6,18.6,6.8,14,48.5,1.6,4.5,36.1,3.4,4,84.2,0.9,3.2,4.1,3.5,2.1,1,0.2,2.3,30.2,2,0,0.6,1.2,2.7,9.8,23,58.9,16.7
Moritz,Wagner,ORL,26,6,11,83,245,Michigan,Germany,2018,1,25,57,27,30,19.5,10.5,3.5,6.9,50,0.9,2.9,31.3,2.7,3.2,84.1,1.2,3.3,4.5,1.5,1.2,0.6,0.2,2.4,19.6,3,0,-0.5,-1.1,6,17.2,20.1,63,11.5
Ish,Wainright,PHX,28,6,5,77,250,Baylor,USA,Undrafted,Undrafted,Undrafted,60,33,27,15.3,4.2,1.4,3.8,37,1,2.9,32.9,0.4,0.5,83.9,0.8,1.6,2.3,0.9,0.4,0.6,0.4,2,10.9,0,0,1.5,6.1,4.5,9.7,11.7,52.2,7.5
Jabari,Walker,POR,20,6,7,79,200,Colorado,USA,2022,2,57,56,21,35,11.1,3.9,1.5,3.5,41.9,0.3,1,28.6,0.6,0.8,75.6,0.9,1.5,2.3,0.6,0.5,0.2,0.2,1.2,8.3,0,0,-2.1,-9,7.4,13.5,16.4,49.6,8
Kemba,Walker,DAL,33,6,1,73,184,Connecticut,USA,2011,1,9,9,5,4,16,8,2.7,6.3,42.1,0.8,3.1,25,1.9,2.3,81,0.3,1.4,1.8,2.1,0.4,0.2,0.2,1.2,14.2,0,0,-0.1,-1.9,2,9,21.5,54.3,21.6
Lonnie,Walker IV,LAL,24,6,4,76,204,Miami,USA,2018,1,18,56,27,29,23.2,11.7,4.2,9.4,44.8,1.6,4.4,36.5,1.6,1.9,85.8,0.3,1.7,1.9,1.1,0.8,0.5,0.3,1.3,17.4,0,0,-3.7,-7.3,1.1,6.9,19.8,57,7.1
John,Wall,LAC,32,6,3,75,210,Kentucky,USA,2010,1,1,34,15,19,22.2,11.4,4.1,10,40.7,1,3.2,30.3,2.3,3.3,68.1,0.4,2.3,2.7,5.2,2.4,0.8,0.4,1.7,23.5,1,0,-3.1,-6.6,1.8,9.6,25.9,49.7,38
T.J.,Warren,PHX,29,6,8,80,220,North Carolina State,USA,2014,1,14,42,26,16,16.4,7.5,3.1,6.4,48.9,0.5,1.6,32.8,0.7,0.8,80,0.6,2.3,2.9,1,0.5,0.5,0.3,1.5,14.3,0,0,1.3,4.4,3.8,13.1,18.5,55,8.1
P.J.,Washington,CHA,24,6,7,79,230,Kentucky,USA,2019,1,12,73,24,49,32.6,15.7,5.9,13.4,44.4,2,5.9,34.8,1.7,2.4,73,1,3.9,4.9,2.4,1.5,0.9,1.1,2.6,29.6,3,0,-5.1,-7.2,2.8,11.8,20,54.2,10.7
