FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Ryan,Arcidiacono,POR,29,6,3,75,195,Villanova,USA,Undrafted,Undrafted,Undrafted,20,9,11,8.6,1.3,0.5,1.9,24.3,0.4,1.2,34.8,0,0,0,0,0.8,0.8,1.2,0.4,0.3,0,0.9,4.3,0,0,-2,-12.8,0,9,10.6,35.1,19.5
Deni,Avdija,WAS,22,6,9,81,210,None,Israel,2020,1,9,76,33,43,26.6,9.2,3.3,7.6,43.7,0.9,3.1,29.7,1.6,2.2,73.9,1,5.4,6.4,2.8,1.6,0.9,0.4,2.8,23.1,11,0,-0.7,-0.8,3.8,19.6,16.5,53.5,14.2
Deandre,Ayton,PHX,24,7,1,85,250,Arizona,Bahamas,2018,1,1,67,36,31,30.4,18,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3,76,2.6,7.4,10,1.7,1.8,0.6,0.8,2.8,34.7,36,0,-0.1,0,8.4,24.7,23.1,61.7,9
Udoka,Azubuike,UTA,23,6,11,83,270,Kansas,Nigeria,2020,1,27,36,17,19,10,3.5,1.6,2,81.9,0,0,0,0.2,0.6,35,0.9,2.4,3.3,0.3,0.5,0.2,0.4,0.9,9.1,0,0,-2.3,-11.7,8.2,22.4,11.3,77.4,4.3
Marvin,Bagley III,DET,24,6,10,82,235,Duke,USA,2018,1,2,42,7,35,23.6,12,4.8,9.1,52.9,0.5,1.6,28.8,1.9,2.6,75,2.2,4.2,6.4,0.9,1.1,0.5,0.7,1.9,23.4,8,0,-5.5,-10.6,9.1,17.9,20.2,58.7,5.8
Patrick,Baldwin,GSW,20,6,9,81,220,Wisconsin-Milwaukee,USA,2022,1,28,31,15,16,7.3,3.9,1.4,3.5,39.4,1,2.7,38.1,0.1,0.2,66.7,0,1.3,1.3,0.4,0.4,0.2,0.1,0.5,6.6,0,0,-1.6,-12.3,0.4,18.8,22.7,54.6,8.3
LaMelo,Ball,CHA,21,6,7,79,180,None,USA,2020,1,3,36,13,23,35.2,23.3,8.2,20,41.1,4,10.6,37.6,2.8,3.4,84.3,1.2,5.3,6.4,8.4,3.6,1.3,0.3,3.3,44.8,17,3,-4.2,-4.7,3.1,14.7,28.9,54.1,35.2
Mo,Bamba,LAL,25,7,1,85,231,Texas,USA,2018,1,6,49,25,24,15.7,6.6,2.4,4.9,48.5,1,2.5,38.7,0.8,1.3,66.1,1.2,3.4,4.6,0.9,0.6,0.3,0.9,2.1,16.3,2,0,0.2,1.5,7.6,19.8,16.6,60.2,8.6
Paolo,Banchero,ORL,20,6,10,82,250,Duke,USA,2022,1,1,72,31,41,33.7,20,6.7,15.6,42.7,1.2,4,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,2.8,0.8,0.5,2.2,35.2,14,0,-3,-4.2,3.5,17.4,27.2,52.9,17.1
Desmond,Bane,MEM,25,6,5,77,215,TCU,USA,2020,1,30,58,38,20,31.7,21.5,7.8,16.2,47.9,2.9,7,40.8,3.1,3.5,88.3,0.7,4.3,5,4.4,2.2,1,0.4,2.6,36,1,0,6.1,9,2.2,12.3,25.2,60.6,20.2
Dalano,Banton,TOR,23,6,7,79,204,Nebraska,Canada,2021,2,46,31,17,14,9,4.6,1.8,4.2,42.3,0.5,1.6,29.4,0.5,0.8,70.8,0.4,1.1,1.5,1.2,0.6,0.4,0.4,1.1,10,0,0,-1.1,-6.5,3.6,13,22.9,50.5,20.2
Dominick,Barlow,SAS,20,6,9,81,215,None,USA,Undrafted,Undrafted,Undrafted,28,5,23,14.6,3.9,1.6,3.1,53.5,0,0.1,0,0.6,0.9,72,1.6,2,3.6,0.9,0.5,0.4,0.7,2,12.2,2,0,-3.9,-10.7,10,13.1,10.7,56.7,7.9
Harrison,Barnes,SAC,31,6,8,80,225,North Carolina,USA,2012,1,7,82,48,34,32.5,15,4.6,9.6,47.3,1.6,4.3,37.4,4.3,5,84.7,1.1,3.4,4.5,1.6,1,0.7,0.1,1.3,24.1,0,0,3.1,4.8,3.4,10.7,16.8,63.2,6.3
Scottie,Barnes,TOR,21,6,8,80,225,Florida State,USA,2021,1,4,77,38,39,34.8,15.3,6,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,2,1.1,0.8,2.2,34.1,15,1,2.3,3.2,6.3,13.5,20,52.4,19.5
RJ,Barrett,NYK,23,6,6,78,214,Duke,Canada,2019,1,3,73,40,33,33.9,19.6,7,16.1,43.4,1.7,5.3,31,4,5.4,74,0.8,4.2,5,2.8,2.2,0.4,0.2,2.5,29.4,3,0,-0.8,-1.2,2.3,12.1,25.6,53.1,12.4
Will,Barton,TOR,32,6,5,77,181,Memphis,USA,2012,2,40,56,27,29,17.7,6.8,2.5,6.5,37.9,1.2,3.2,36.7,0.7,0.8,78.7,0.3,2.2,2.4,2,0.9,0.5,0.2,1,14,0,0,-3,-8.4,1.4,12.5,18.2,49.3,16.2
Charles,Bassey,SAS,22,6,9,81,230,Western Kentucky,Nigeria,2021,2,53,35,9,26,14.5,5.7,2.5,3.9,64.4,0.1,0.2,37.5,0.6,1.1,59.5,2.1,3.4,5.5,1.4,1.2,0.5,0.9,2.1,17.4,0,0,-0.9,-2.4,14,23.2,15.2,65.8,13.1
Keita,Bates-Diop,SAS,27,6,8,80,229,Ohio State,USA,2018,2,48,67,18,49,21.7,9.7,3.5,6.9,50.8,0.8,2.1,39.4,1.8,2.2,79.3,1,2.7,3.7,1.5,0.8,0.7,0.3,0.9,18.5,0,0,-4,-8.5,4.2,13,16.5,60.9,9.9
Nicolas,Batum,LAC,34,6,8,80,230,None,France,2008,1,25,78,44,34,21.9,6.1,2.1,4.9,42,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3,3.8,1.6,0.6,0.7,0.6,1.9,16.2,0,0,2.1,4.5,3.6,13.5,11.1,59.4,9.5
Darius,Bazley,PHX,23,6,9,81,216,None,USA,2019,1,23,43,19,24,14.3,5.2,1.9,4.3,45.4,0.5,1.2,37.7,0.9,1.6,54.3,0.8,2.4,3.2,0.9,0.6,0.5,0.8,1,13.7,0,0,-1.6,-3.6,5.3,15.7,16.5,52.4,8.8
Bradley,Beal,WAS,30,6,4,76,207,Florida,USA,2012,1,3,50,24,26,33.5,23.2,8.9,17.6,50.6,1.6,4.4,36.5,3.8,4.6,84.2,0.8,3.1,3.9,5.4,2.9,0.9,0.7,2.1,37.8,2,0,0.8,0.7,2.6,9.1,28.8,59.3,26
Malik,Beasley,LAL,26,6,4,76,187,Florida State,USA,2016,1,19,81,45,36,25.8,12.7,4.6,11.6,39.5,2.9,8.1,35.7,0.6,0.8,76.9,0.4,3.1,3.5,1.5,1.1,0.8,0.1,1.3,20.8,1,0,-1.1,-2.2,1.6,11.6,20.7,53.1,8.6
MarJon,Beauchamp,MIL,22,6,7,79,199,None,USA,2022,1,24,52,34,18,13.5,5.1,1.8,4.7,39.5,0.9,2.7,33.1,0.5,0.7,73,0.7,1.5,2.2,0.7,0.9,0.4,0.1,1.3,9.5,0,0,-1.9,-7.2,5,10.3,17.5,51.3,7.2
Davis,Bertans,DAL,30,6,10,82,225,None,Latvia,2011,2,42,45,20,25,10.9,4.6,1.5,3.6,43.1,1.2,3.1,39,0.3,0.3,86.7,0.2,1,1.2,0.5,0.2,0.2,0.2,1.2,7.7,0,0,-0.8,-4.3,2,8.6,15.5,61.8,6.5
Patrick,Beverley,CHI,34,6,2,74,180,Arkansas,USA,2009,2,42,67,34,33,27.1,6.2,2.1,5.4,40,1.2,3.6,33.5,0.7,1,72.3,0.7,3,3.7,2.9,0.9,0.9,0.6,2.8,18.7,2,0,-1.2,-1.5,2.5,11.1,10.7,53.4,13.7
Saddiq,Bey,ATL,24,6,7,79,215,Villanova,USA,2020,1,19,77,24,53,27.6,13.8,4.6,10.9,42.2,2,5.4,36.1,2.7,3.1,86.1,1.3,3.4,4.7,1.5,0.9,0.9,0.2,1.6,24,4,0,-1.9,-3.1,4.4,12.7,19.4,56.4,8
Khem,Birch,SAS,30,6,8,80,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,20,9,11,8.1,2.2,1,1.6,59.4,0.1,0.1,50,0.2,0.3,80,0.4,0.9,1.3,0.4,0.4,0.3,0.3,1.2,5.3,0,0,0.3,2.8,5.1,11.8,11.3,62.9,6.3
Goga,Bitadze,ORL,23,6,11,83,250,None,Georgia,2019,1,18,38,13,25,12,4.4,1.8,3.3,55.2,0.2,0.7,23.1,0.6,1.1,54.8,1.6,2,3.6,1,0.6,0.4,0.7,1.7,13,2,0,0.7,3.7,12.3,16.7,14.7,58.2,12.2
Bismack,Biyombo,PHX,30,6,8,80,255,None,DRC,2011,1,7,61,33,28,14.3,4.3,2,3.4,57.8,0,0,0,0.4,1.1,35.7,1.5,2.8,4.3,0.9,0.8,0.3,1.4,1.9,15.2,3,0,0.8,3.1,9.3,18.4,13.6,55.5,8.9
Buddy,Boeheim,DET,23,6,6,78,205,Syracuse,USA,Undrafted,Undrafted,Undrafted,10,2,8,9,1.6,0.5,2.7,18.5,0.4,2.5,16,0.2,0.2,100,0.2,0.4,0.6,0.4,0,0.2,0,0.6,3.5,0,0,0.3,2.7,2.2,4.3,13.1,28.7,5.9
Bogdan,Bogdanovic,ATL,30,6,5,77,225,None,Serbia,2014,1,27,54,27,27,27.9,14,5.1,11.3,44.7,2.7,6.7,40.6,1.2,1.4,83.1,0.4,2.6,3.1,2.8,1.2,0.8,0.3,1.6,24,0,0,1.2,1.2,1.5,9.3,19.6,58.6,13.4
Bojan,Bogdanovic,DET,34,6,7,79,226,None,Croatia,2011,2,31,59,15,44,32.1,21.6,7.3,14.9,48.8,2.5,6,41.1,4.5,5.1,88.4,0.6,3.2,3.8,2.6,2.3,0.6,0.1,1.9,29.8,0,0,-5.6,-8.2,1.8,9.9,25.1,62.7,13.3
Bol,Bol,ORL,23,7,2,86,220,Oregon,Sudan,2019,2,44,70,26,44,21.5,9.1,3.7,6.8,54.6,0.4,1.6,26.5,1.2,1.5,75.9,1,4.8,5.8,1,1.6,0.4,1.2,1.3,20.8,6,0,-2.1,-4.4,4.6,22,17.7,60.3,6.9
Leandro,Bolmaro,UTA,22,6,6,78,200,None,Argentina,2020,1,23,14,8,6,4.9,0.4,0.2,1.4,15,0,0.3,0,0,0,0,0.3,0.2,0.5,0.5,0.5,0.2,0.1,0.7,2.1,0,0,0.1,0.7,5.1,4,15.5,15,12.1
Devin,Booker,PHX,26,6,5,77,206,Kentucky,USA,2015,1,13,53,34,19,34.6,27.8,9.9,20.1,49.4,2.1,6,35.1,5.8,6.8,85.5,0.9,3.7,4.5,5.5,2.7,1,0.3,3,42.7,5,0,4.7,6.2,2.5,10.5,31.1,60.1,25.1
Brandon,Boston Jr.,LAC,21,6,6,78,188,Kentucky,USA,2021,2,51,22,9,13,11.3,6.5,2.3,5.5,41.8,0.5,1.3,41.4,1.3,1.7,76.3,0.3,1,1.4,0.9,0.5,0.4,0,1,10.2,0,0,-2,-7.7,2.4,9.8,23.7,51.5,12.9
Chris,Boucher,TOR,30,6,9,81,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,76,39,37,20,9.4,3.4,7,49.3,0.8,2.5,32.8,1.7,2.2,76.2,2.1,3.5,5.5,0.4,0.5,0.6,0.8,1.9,20.4,9,0,-0.2,-1.3,9.4,19,17.5,59,2.9
James,Bouknight,CHA,22,6,4,76,190,Connecticut,USA,2021,1,11,34,9,25,15.2,5.6,2,5.7,35.8,1,3.2,30.3,0.6,0.9,66.7,0.2,1.9,2.1,1.2,0.9,0.4,0.1,1.4,10.7,0,0,-2.9,-8.3,1.5,11.6,19.2,46.3,11.7
Jamaree,Bouyea,WAS,24,6,2,74,180,San Francisco,USA,Undrafted,Undrafted,Undrafted,5,2,3,14.1,3,1.2,2.8,42.9,0.4,1.2,33.3,0.2,0.4,50,0.2,1,1.2,0.8,0.8,0.8,0.4,1.2,8.4,0,0,-3.4,-13.2,1.6,8.6,12,50.4,9.1
Tony,Bradley,CHI,25,6,11,83,248,North Carolina,USA,2017,1,28,12,5,7,2.8,1.6,0.5,1,50,0.3,0.4,60,0.3,0.3,100,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,3.2,0,0,0.9,9.9,2.9,27.8,17.4,69,4.2
Malaki,Branham,SAS,20,6,4,76,180,Ohio State,USA,2022,1,20,66,15,51,23.5,10.2,4.1,9.3,44,1.2,3.9,30.2,0.9,1.1,82.9,0.4,2.3,2.7,1.9,1.2,0.5,0.1,1.7,17,0,0,-5.5,-11.1,1.7,9.8,18.8,52.4,11.2
Jarrell,Brantley,UTA,27,6,5,77,250,College of Charleston,USA,2019,2,50,4,0,4,9.7,5.5,2,3.5,57.1,1,2.3,44.4,0.5,0.5,100,0.3,1.3,1.5,0.8,0.5,0,0.5,0.8,9.4,0,0,3.8,16.2,2,9.3,17.2,73.9,12.5
Christian,Braun,DEN,22,6,6,78,220,Kansas,USA,2022,1,21,76,49,27,15.5,4.7,1.9,3.8,49.5,0.4,1.3,35.4,0.5,0.8,62.5,0.6,1.8,2.4,0.8,0.5,0.5,0.2,1.3,10.6,0,0,-1.5,-4.3,4.2,11.2,12.7,56.8,7
Mikal,Bridges,BKN,26,6,6,78,209,Villanova,USA,2018,1,10,83,42,41,35.7,20.1,7.1,15.3,46.8,2,5.3,38.2,3.8,4.3,89.5,1,3.4,4.4,3.3,1.5,1.1,0.7,1.9,34.3,2,0,0.4,0.8,2.6,9.4,22.3,58.7,14.1
Oshae,Brissett,IND,25,6,7,79,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,65,27,38,16.7,6.1,1.9,4.9,38.6,0.7,2.4,31,1.6,2.2,71.7,1,2.4,3.4,0.7,0.5,0.5,0.2,1.2,12.8,1,0,0.3,0.6,5.4,14.4,15.5,52,5.5
Malcolm,Brogdon,BOS,30,6,4,76,229,Virginia,USA,2016,2,36,67,46,21,26,14.9,5.3,10.9,48.4,2,4.4,44.4,2.4,2.7,87,0.6,3.6,4.2,3.7,1.5,0.7,0.3,1.6,26.9,0,0,2.7,5.1,2.4,13.2,22.3,61.5,22.3
Dillon,Brooks,MEM,27,6,6,78,225,Oregon,Canada,2017,2,45,73,46,27,30.3,14.3,5.4,13.6,39.6,2,6,32.6,1.6,2.1,77.9,0.6,2.7,3.3,2.6,1.4,0.9,0.2,3.3,24.1,0,0,2.8,4.9,1.9,8.4,21.4,49.4,11.7
Bruce,Brown,DEN,26,6,4,76,202,Miami,USA,2018,2,42,80,53,27,28.5,11.5,4.5,9.3,48.3,1.1,3.2,35.8,1.5,1.9,75.8,0.8,3.3,4.1,3.4,1.5,1.1,0.6,2.4,25.1,3,1,0.4,0.8,2.9,11.6,17.4,57.1,16.4
Jaylen,Brown,BOS,26,6,6,78,223,California,USA,2016,1,3,67,46,21,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,1.2,5.7,6.9,3.5,2.9,1.1,0.4,2.6,41.6,13,0,3.8,5.4,3.2,15.2,30.7,58.1,16.3
Kendall,Brown,IND,20,6,7,79,205,Baylor,USA,2022,2,48,6,1,5,6.7,1.5,0.7,1.2,57.1,0,0.2,0,0.2,0.3,50,0.3,0.7,1,0.5,0.3,0.7,0,1.5,5.1,0,0,0.7,8.2,5.1,8.9,9.3,57.1,9.1
Moses,Brown,BKN,23,7,2,86,245,UCLA,USA,Undrafted,Undrafted,Undrafted,36,17,19,8.2,4.3,1.7,2.7,63.5,0,0,0,0.9,2,45.8,1.6,2.3,3.9,0.1,0.4,0.1,0.4,1.1,10.2,3,0,0.8,3.5,16.5,26.2,18.8,60.7,2.1
Sterling,Brown,LAL,28,6,5,77,219,Southern Methodist,USA,2017,2,46,4,2,2,6.1,0,0,1,0,0,0.5,0,0,0,0,0.8,1.3,2,0.5,0,0.8,0,1,5.4,0,0,-1,0.4,9.1,15.2,6.1,0,7.7
Greg,Brown III,POR,21,6,7,79,206,Texas,USA,2021,2,43,16,10,6,5.8,1.8,0.7,1.8,39.3,0.1,0.4,14.3,0.3,0.8,41.7,0.1,1.1,1.2,0.2,0.4,0.3,0.3,0.8,4.8,0,0,-0.3,-3.4,1.9,17.5,17,42.1,5.5
Troy,Brown Jr.,LAL,23,6,7,79,215,Oregon,USA,2018,1,15,76,40,36,24.5,7.1,2.6,6.1,43,1.4,3.7,38.1,0.4,0.5,87.2,0.8,3.2,4.1,1.3,0.6,0.8,0.2,1.6,16.2,2,0,-0.2,-0.5,3.3,12.3,11.9,56.1,6.7
Jalen,Brunson,NYK,26,6,2,74,190,Villanova,USA,2018,2,33,68,40,28,35,24,8.6,17.6,49.1,2,4.7,41.6,4.8,5.8,82.9,0.6,3,3.5,6.2,2.1,0.9,0.2,2.2,38.8,5,0,2.2,2.1,1.6,8.5,26.6,59.7,28
Thomas,Bryant,DEN,25,6,10,82,248,Indiana,USA,2017,2,42,59,33,26,18.3,9.8,3.9,6.3,62.3,0.4,1,44.1,1.6,2.1,73.8,1.5,4.3,5.7,0.5,0.6,0.3,0.5,1.7,19.2,9,0,-1.6,-4.7,8.1,22.3,18.1,68.2,4.2
Reggie,Bullock Jr.,DAL,32,6,6,78,205,North Carolina,USA,2013,1,25,78,37,41,30.3,7.2,2.5,6,40.9,1.9,5.1,38,0.3,0.5,70.3,0.4,3.2,3.6,1.4,0.5,0.7,0.2,2.1,15.7,1,0,-1.1,-1.8,1.4,11.2,9.8,57.7,6.3
Alec,Burks,DET,31,6,6,78,214,Colorado,USA,2011,1,12,51,12,39,22,12.8,3.9,9,43.6,1.9,4.7,41.4,3,3.7,81.4,0.4,2.7,3.1,2.2,1.1,0.7,0.2,1.9,21.4,0,0,-0.1,-1,1.7,12.4,21.8,60.2,15
Deonte,Burton,SAC,29,6,4,76,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,2,1,1,3.2,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,51.8,0,0,13.3,0,0
Jared,Butler,OKC,22,6,3,75,193,Baylor,USA,2021,2,40,6,3,3,12.8,6.2,2.5,5.3,46.9,1.2,2.3,50,0,0,0,0.2,0.5,0.7,1.3,0.8,0.8,0,0.8,10.6,0,0,-0.2,2.6,1.3,3.4,20.8,57.8,16
Jimmy,Butler,MIA,33,6,7,79,230,Marquette,USA,2011,1,30,64,35,29,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35,7.4,8.7,85,2.2,3.7,5.9,5.3,1.6,1.8,0.3,1.3,42.8,11,0,0.7,1.2,6.8,12.1,24.8,64.7,26.4
John,Butler Jr.,POR,20,7,1,85,190,Florida State,USA,Undrafted,Undrafted,Undrafted,19,4,15,11.6,2.4,0.9,2.8,32.1,0.4,1.8,22.9,0.2,0.2,75,0.2,0.7,0.9,0.6,0.1,0.4,0.5,1.2,6.8,0,0,-3.7,-16.1,1.2,6.5,10.2,41.1,6.6
Jamal,Cain,MIA,24,6,6,78,191,Oakland,USA,Undrafted,Undrafted,Undrafted,18,10,8,13.3,5.4,2.1,3.7,56.1,0.4,1.1,35,0.9,1.2,77.3,0.8,2.1,2.9,0.7,0.3,0.6,0.1,1.2,11.6,0,0,1.2,5.5,6.4,14.2,13.9,64.7,7.6
Kentavious,Caldwell-Pope,DEN,30,6,5,77,204,Georgia,USA,2013,1,8,76,51,25,31.3,10.8,3.8,8.3,46.2,1.8,4.2,42.3,1.4,1.6,82.4,0.5,2.3,2.7,2.4,1.1,1.5,0.5,1.9,22.4,0,0,6.5,9.8,1.6,7.4,13.6,59.8,9.2
Facundo,Campazzo,DAL,32,5,10,70,195,None,Argentina,Undrafted,Undrafted,Undrafted,8,2,6,6.5,1.3,0.4,1.6,23.1,0.4,1.4,27.3,0.1,0.3,50,0,0.3,0.3,1.1,0.4,0.8,0,0.4,5.1,0,0,1.4,11,0,4.1,14.4,36,30
Vlatko,Cancar,DEN,26,6,8,80,236,None,Slovenia,2017,2,49,60,38,22,14.8,5,1.8,3.8,47.6,0.7,1.9,37.4,0.6,0.7,92.7,0.4,1.7,2.1,1.3,0.6,0.4,0.2,1.4,10.7,1,0,-1.1,-3.9,2.7,11.9,13.4,60.6,12.5
Clint,Capela,ATL,29,6,10,82,256,None,Switzerland,2014,1,25,65,35,30,26.6,12,5.4,8.2,65.3,0,0,0,1.2,2,60.3,4,7.1,11,0.9,0.8,0.7,1.2,2.1,31.5,35,0,-0.5,-1.1,14.2,26.8,15.1,65.6,4.5
Vernon,Carey Jr.,UTA,22,6,10,82,270,Duke,USA,2020,2,32,11,8,3,2.6,0.5,0.2,0.7,25,0,0,0,0.2,0.2,100,0.3,0.7,1,0.3,0.2,0.2,0.2,0.5,3.1,0,0,-0.9,-17.3,8.1,29.6,14.7,33.8,21.4
Jevon,Carter,MIL,27,6,1,73,200,West Virginia,USA,2018,2,32,81,57,24,22.4,8,3,7,42.3,1.8,4.2,42.1,0.4,0.5,81.6,0.4,2.1,2.5,2.4,1,0.8,0.4,2,17.2,1,0,0.8,1.9,1.8,8.4,14.9,56,15
Wendell,Carter Jr.,ORL,24,6,10,82,270,Duke,USA,2018,1,7,57,26,31,29.6,15.2,5.6,10.8,52.5,1.4,3.9,35.6,2.5,3.4,73.8,2.1,6.6,8.7,2.3,1.9,0.5,0.6,2.8,30.6,21,0,-0.7,-0.8,7.4,22.1,20.4,62.1,11.9
Michael,Carter-Williams,ORL,31,6,5,77,190,Syracuse,USA,2013,1,11,4,1,3,11.1,4.3,1.5,3.5,42.9,0.3,0.8,33.3,1,1.8,57.1,0.3,1,1.3,1.8,1,0.3,0.3,1.3,8.9,0,0,-6.5,-32.4,2.1,12.5,19.1,49.8,28
Alex,Caruso,CHI,29,6,5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,67,33,34,23.5,5.6,1.9,4.3,45.5,0.8,2.3,36.4,0.9,1.1,80.8,0.6,2.3,2.9,2.9,1.1,1.5,0.7,2.4,18.7,1,0,3,6.1,2.8,9.9,10.9,58.8,15.5
Julian,Champagnie,SAS,22,6,7,79,217,St. John's,USA,Undrafted,Undrafted,Undrafted,17,7,10,18.8,9.7,3.5,7.6,45.4,1.9,4.8,40.2,0.8,1,82.4,0.6,2.9,3.5,0.6,0.6,0.4,0.3,1.5,16.1,1,0,-4.4,-10.6,2.7,14.7,18.1,60,4.3
Justin,Champagnie,BOS,22,6,6,78,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,5,4,1,6.9,2.2,1,3,33.3,0.2,1,20,0,0,0,0.6,1,1.6,0.8,0,0.2,0,0.4,5.9,0,0,-0.8,-9.5,8.8,17.9,18.8,36.7,14.8
Kennedy,Chandler,MEM,20,5,11,71,170,Tennessee,USA,2022,2,38,36,22,14,7.8,2.2,1,2.3,42.2,0.1,0.4,13.3,0.2,0.4,46.2,0.3,0.8,1.1,1.6,0.5,0.3,0.1,0.4,6.8,0,0,-1.1,-5.4,2.9,10.3,15,44,27.8
Max,Christie,LAL,20,6,5,77,190,Michigan State,USA,2022,2,35,41,19,22,12.5,3.1,1.1,2.6,41.5,0.6,1.5,41.9,0.3,0.4,87.5,0.2,1.7,1.8,0.5,0.3,0.2,0.2,0.8,6.9,0,0,-1.9,-7.1,1.2,12.6,10,56.6,5.4
Josh,Christopher,HOU,21,6,4,76,215,Arizona State,USA,2021,1,24,64,16,48,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75,0.3,0.8,1.1,1.1,0.9,0.5,0.2,0.9,10.2,0,0,-3.5,-13.9,2.4,6.8,21.5,52.3,14.9
Brandon,Clarke,MEM,26,6,8,80,215,Gonzaga,Canada,2019,1,21,56,32,24,19.5,10,4.1,6.2,65.6,0,0.1,16.7,1.8,2.5,71.9,1.6,3.9,5.5,1.3,1,0.6,0.7,2.3,21.4,6,0,-0.3,0.7,7.9,17.7,17.4,68.1,10
Jordan,Clarkson,UTA,31,6,5,77,194,Missouri,USA,2014,2,46,61,30,31,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4,81.6,1.2,2.9,4,4.4,3,0.5,0.2,2,31.5,3,0,0.6,0.8,3.6,8.3,27.3,55.8,20.9
Nic,Claxton,BKN,24,6,11,83,215,Georgia,USA,2019,2,31,76,41,35,29.9,12.6,5.4,7.7,70.5,0,0,0,1.8,3.2,54.1,2.4,6.8,9.2,1.9,1.3,0.9,2.5,2.8,35.3,28,0,1.6,3.7,8.8,21.3,15.5,69.1,9.1
Amir,Coffey,LAC,26,6,7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,50,26,24,12.5,3.4,1.1,2.9,38.6,0.2,0.8,27.5,1,1.3,77.8,0.3,0.7,1.1,1.1,0.4,0.1,0.1,1,6.6,0,0,-2.3,-8.9,2.6,5.5,12.8,49.8,11.9
John,Collins,ATL,25,6,9,81,226,Wake Forest,USA,2017,1,19,71,37,34,30,13.1,5.1,10,50.8,1,3.4,29.2,2,2.5,80.3,1.1,5.4,6.5,1.2,1.1,0.6,1,3.1,26.5,11,0,-0.3,-0.2,3.5,18,16.8,59.3,5.2
Zach,Collins,SAS,25,6,11,83,250,Gonzaga,USA,2017,1,10,63,20,43,22.9,11.6,4.5,8.7,51.8,0.9,2.3,37.4,1.7,2.3,76.1,1.8,4.5,6.4,2.9,2,0.6,0.8,3.2,25.6,9,0,-3.8,-7.5,7.6,19,20.9,59.9,18
Chance,Comanche,POR,27,6,10,82,210,Arizona,USA,Undrafted,Undrafted,Undrafted,1,0,1,20.8,7,3,5,60,0,0,0,1,4,25,2,1,3,0,0,0,1,0,13.6,0,0,-29,-68.1,8,6.7,14,51.8,0
Mike,Conley,MIN,35,6,1,73,175,Ohio State,USA,2007,1,4,67,34,33,30.3,11.9,3.9,9.1,42.8,2,5.2,38.5,2.1,2.5,83.4,0.5,2.2,2.7,6.7,1.5,1.1,0.2,2.1,27.6,6,0,0.9,1.3,1.6,7.5,16.1,58.3,29.5
Pat,Connaughton,MIL,30,6,5,77,209,Notre Dame,USA,2015,2,41,61,43,18,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.5,0.6,0.2,1.1,16.9,2,0,2.2,3.4,3.3,14.4,13.3,53.1,6.9
Xavier,Cooks,WAS,27,6,8,80,183,Winthrop,Australia,Undrafted,Undrafted,Undrafted,10,2,8,12.6,3.8,1.7,2.8,60.7,0,0.1,0,0.4,1,40,1.6,2.2,3.8,0.6,0.8,0.6,0.4,1.3,11.5,1,0,1.9,7.4,11.3,15.2,12.7,58.6,6.1
Robert,Covington,LAC,32,6,7,79,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,48,20,28,16.2,6,2.1,4.8,44.5,1.1,2.8,39.7,0.6,0.8,75,0.6,2.8,3.5,1.2,0.7,0.8,0.7,1.8,15.7,0,0,-0.1,-1,3.8,16.4,14.9,58.4,10.5
Torrey,Craig,PHX,32,6,7,79,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,79,44,35,24.7,7.4,2.9,6.3,45.6,1.3,3.2,39.5,0.4,0.6,71.1,1.8,3.6,5.4,1.5,0.9,0.6,0.8,2.3,19.5,4,0,-2.2,-3.7,7.3,14.6,12.8,56.6,8
